2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;8660;0;4306;0;0;0;0;2;0;0;23;0;1381;0;0;0;0;0;2;0;0;0;0;0;0;0;207;0;0;0;0;0;0;10;4691;0;0;1;1;19;0;0;0;0;0
8;1;0;3;5;58;2;0;2;1;13;4;33;3;10;161;980;6;37;146;132;2395;201;4;0;1;34;0;5;18;3;0;0;1;0;84;0;4;1;0;4;2;0;0;0;11;3;0;2;36;0;1;0;7;53;59;2946;319;19;20;48;20;0;0;0
50;5;1;986;981;220;378;1029;502;940;1978;4;341;750;2815;1966;793;1377;2863;3155;326;577;556;1824;26;0;224;14;284;172;997;306;1577;62;7;28;5;209;829;2;1;10;0;458;0;14;5;10;4;57;0;0;2;64;442;27;408;184;7;0;0;0;4;0;0
807;6;7;547;3097;543;652;2465;587;576;3156;271;1409;2148;5260;2207;559;940;1434;2211;226;505;302;26074;280;91;409;989;2504;3412;1261;0;9;466;165;1456;223;186;442;232;668;320;125;615;0;348;157;273;66;112;109;20;53;430;1421;1071;1582;715;191;175;167;29;436;0;0
121;1;1;37;276;28;8;111;10;11;208;14;47;91;134;115;44;47;102;106;5;21;15;19;3;27;97;45;57;74;34;1;1;36;15;400;18;8;25;28;36;28;1;20;0;69;29;16;13;20;6;5;3;65;134;224;207;92;33;102;21;4;188;0;0
828;7;1;200;1334;195;209;1173;16;24;1985;1573;686;607;2745;101;45;70;149;243;6;141;17;13;1;3296;136;88;191;644;72;0;1;88;22;614;27;33;44;69;132;53;6;13;0;100;42;37;19;32;16;11;4;443;1557;111;458;173;64;31;28;8;270;0;0
806;66;5;298;952;179;122;187;230;135;622;237;292;266;778;405;231;280;513;686;35;141;101;2371;129;2237;17769;567;1055;1583;795;11;19;2096;287;696;375;370;600;607;784;366;226;23844;0;981;402;192;180;272;231;62;38;1224;4978;1629;2087;642;537;70;428;20;253;0;0
149;6;0;24;142;11;45;32;21;5;52;8;26;87;36;78;51;77;885;10224;27;41;35;62;0;217;334;1822;279;1417;960;0;0;1590;58;94;33;35;67;38;31;23;15;13;0;61;27;25;11;19;213;5;7;52;234;53;82;37;35;6;8;4;8;0;0
2412;174;22;397;13975;2111;1385;1497;284;1954;4021;1478;3005;2011;3599;3478;4512;5173;8064;5632;803;3587;1514;1754;1;1211;12344;593;8225;2110;546;272;631;434;167;6356;575;321;835;1235;516;214;133;136;0;998;580;406;160;302;108;60;10;935;2902;1195;6012;2043;721;186;351;68;670;0;0
483;9;6;60;3072;558;678;197;84;53;484;961;349;259;141;533;1303;869;1437;1310;130;1517;324;44;9;53;2260;128;342;317;84;41;72;46;36;1263;96;60;322;81;71;29;13;32;0;158;107;60;30;69;16;5;3;125;555;210;2229;679;105;41;86;14;132;0;0
124;9;0;91;2005;71;403;757;57;1099;1348;43;675;1329;2036;376;395;297;877;2255;29;542;152;2546;0;45;386;154;14876;2595;2648;0;5;13175;0;3;447;36;0;0;66;4;0;0;0;13;5;0;1;30;0;0;21;24;397;2645;0;0;3;2;164;3;8;0;0
7;1;16;70;45;0;0;22;0;61;207;1;29;25;114;13;19;17;8;39;0;9;0;190;0;0;2;4;1348;24;2;3500;0;278;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;14;1;8;0;0;0;0;0;0;0;0;0;0
12;0;0;42;136;43;41;72;24;31;198;58;105;62;91;105;170;96;230;256;46;50;64;21;1;36;116;41;275;114;44;0;295;52;84;15;134;189;40;231;463;151;10;27;0;210;184;138;43;146;29;23;90;165;543;28;47;22;129;46;47;5;32;0;0
148;2;4;37;4026;82;152;58;43;42;233;56;464;420;362;465;545;182;1535;2716;21;170;205;144;18;170;726;324;29516;2131;6621;10176;5083;21786;2487;295;0;24;134;80;30;13;9;9;0;245;103;25;44;97;142;21;3;138;165;34;50;23;22;0;3;8;3;0;0
11;1;0;11;122;16;5;15;42;7;208;33;56;26;44;134;220;211;327;215;12;52;43;183;11;55;47;116;1411;5925;297;0;12;171;1876;156;247;98;1823;93;406;469;279;132;0;428;193;64;63;87;30;412;39;221;950;27;257;114;56;0;91;10;18;0;0
0;1;1;18;60;18;3;6;15;1;327;9;81;15;31;318;182;142;533;210;17;49;81;12;0;25;888;56;1613;371;767;37;646;636;12;138;92;258;167;194;492;140;418;62;0;125;49;36;23;34;10;63;182;109;708;75;165;81;249;145;360;4;40;0;0
17;3;0;11;220;36;9;90;75;35;221;98;68;112;204;120;143;110;106;275;23;44;33;292;0;326;127;151;615;916;161;22;15;180;45;573;1409;374;178;829;885;405;211;253;0;2015;1208;654;369;517;154;194;24;1100;2029;2058;819;386;1234;100;418;4;72;0;0
0;0;0;1;0;0;0;0;0;0;4;0;0;1;0;3;0;0;0;7;1;0;0;32;0;0;4;0;33;112;0;0;0;0;0;1347;102;8385;0;157;74;33;6;1;0;285;113;0;6191;60;19;49;0;144;94;171;318;139;14;5;327;0;20;0;0
27;7;0;48;213;48;53;76;63;59;204;73;183;134;129;286;321;271;450;433;58;72;99;106;15;157;436;125;765;647;242;17;60;316;760;458;2182;1648;10412;661;1076;420;213;278;0;327;160;172;51;77;68;782;919;201;987;110;363;165;246;47;178;22;104;0;0
3;0;0;87;479;56;69;205;185;12;868;294;237;221;372;632;610;524;1205;1054;204;191;237;322;11;901;735;225;1689;1095;684;0;45;1505;463;284;2969;558;1557;10963;3574;817;488;255;0;1145;699;941;239;251;381;356;194;739;1399;478;1018;460;137;120;62;20;84;0;0
688;40;1;119;1282;155;176;271;229;368;733;220;486;307;578;882;489;600;1371;1680;201;331;321;797;36;359;4008;1010;2374;2762;981;119;141;862;307;1443;409;273;621;758;21508;2458;7118;19763;0;1520;966;171;377;519;693;324;194;904;3030;500;2453;457;282;168;1284;26;959;0;0
324;4;1;56;376;15;107;121;87;32;499;43;219;157;96;103;91;75;226;307;33;95;49;776;29;425;645;233;417;1127;2594;28;62;1040;40;206;65;61;56;104;880;12489;3183;84;0;227;100;48;41;61;749;38;11;235;1714;754;340;150;65;17;247;5;46;0;0
0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;40;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6114;23381;2398;0;0;0;0;0;0;0;15;0;0;0;5;0;0;0;0;0;0;0;0;0;0
338;1;1;26;2480;319;337;378;549;182;749;36;725;595;504;1481;681;924;1855;2170;321;400;460;567;30;626;12179;4588;12605;16148;762;12;38;1872;409;5555;867;583;3863;1031;7079;2621;599;14988;0;5875;3660;385;697;605;538;1608;199;2629;5303;697;3485;1598;319;293;596;29;626;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;1;1;135;4361;73;121;365;342;949;1941;426;876;651;945;649;1071;1786;4352;5433;296;335;815;148;15;466;1465;1063;4664;4344;571;0;9;189;102;449;910;350;349;1386;10419;4109;2132;14012;0;24922;10701;177;760;1889;697;612;264;10087;1855;144;1131;510;122;77;287;8;205;0;0
244;1;0;294;614;0;215;362;14;72;1962;469;1190;986;548;1044;1337;1957;1957;1633;608;145;667;2068;91;3832;1669;23;364;393;1535;23;111;1469;29;138;97;23;211;561;662;143;212;1448;0;990;3316;1077;175;232;394;84;2;725;1438;235;211;68;19;20;226;11;30;0;0
0;0;0;0;4;0;0;1;0;5;864;2005;349;278;172;32;554;307;125;1264;617;25;440;0;0;0;3;0;55;0;0;0;0;0;0;0;0;0;51;11;0;0;0;0;0;0;9;1041;0;0;0;105;0;331;5729;1595;215;93;36;0;0;0;0;0;0
